x,y
1.000000000000000000e+00,1.105263157894736670e-01
1.000000000000000000e+00,1.289473684210526161e-01
1.000000000000000000e+00,1.473684210526315652e-01
1.000000000000000000e+00,1.657894736842105143e-01
1.000000000000000000e+00,1.842105263157894635e-01
1.000000000000000000e+00,2.026315789473684126e-01
1.000000000000000000e+00,2.210526315789473339e-01
1.000000000000000000e+00,2.394736842105262831e-01
1.000000000000000000e+00,2.578947368421052322e-01
1.000000000000000000e+00,2.763157894736841813e-01
1.000000000000000000e+00,2.947368421052631304e-01
1.000000000000000000e+00,3.131578947368420796e-01
1.000000000000000000e+00,3.315789473684210287e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.024689188542110108e+00,3.520458044895916627e-01
1.048704920380702621e+00,3.581274137449048101e-01
1.071392108955561140e+00,3.680789373190266334e-01
1.092131906903450078e+00,3.816289235905409583e-01
1.110358586600969755e+00,3.984077642561388855e-01
1.125574971739379260e+00,4.179577762816359954e-01
1.137365998998258521e+00,4.397456863020545725e-01
1.145410039890899512e+00,4.631771769288801077e-01
1.149487673951000488e+00,4.876130981791501617e-01
1.149487673951000488e+00,5.123869018208498938e-01
1.145410039890899512e+00,5.368228230711198368e-01
1.137365998998258743e+00,5.602543136979454275e-01
1.125574971739379260e+00,5.820422237183640046e-01
1.110358586600969755e+00,6.015922357438611145e-01
1.092131906903450300e+00,6.183710764094589862e-01
1.071392108955561140e+00,6.319210626809733666e-01
1.048704920380702621e+00,6.418725862550951344e-01
1.024689188542110108e+00,6.479541955104083373e-01
1.000000000000000000e+00,6.500000000000000222e-01
1.000000000000000000e+00,6.500000000000000222e-01
1.000000000000000000e+00,6.684210526315789158e-01
1.000000000000000000e+00,6.868421052631579204e-01
1.000000000000000000e+00,7.052631578947368141e-01
1.000000000000000000e+00,7.236842105263158187e-01
1.000000000000000000e+00,7.421052631578947123e-01
1.000000000000000000e+00,7.605263157894737169e-01
1.000000000000000000e+00,7.789473684210526105e-01
1.000000000000000000e+00,7.973684210526316152e-01
1.000000000000000000e+00,8.157894736842105088e-01
1.000000000000000000e+00,8.342105263157895134e-01
1.000000000000000000e+00,8.526315789473684070e-01
1.000000000000000000e+00,8.710526315789473006e-01
1.000000000000000000e+00,8.894736842105263053e-01
1.000000000000000000e+00,9.078947368421053099e-01
1.000000000000000000e+00,9.263157894736842035e-01
1.000000000000000000e+00,9.447368421052630971e-01
1.000000000000000000e+00,9.631578947368421018e-01
1.000000000000000000e+00,9.815789473684211064e-01
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
9.815789473684211064e-01,1.000000000000000000e+00
9.631578947368421018e-01,1.000000000000000000e+00
9.447368421052632081e-01,1.000000000000000000e+00
9.263157894736842035e-01,1.000000000000000000e+00
9.078947368421053099e-01,1.000000000000000000e+00
8.894736842105263053e-01,1.000000000000000000e+00
8.710526315789474117e-01,1.000000000000000000e+00
8.526315789473684070e-01,1.000000000000000000e+00
8.342105263157895134e-01,1.000000000000000000e+00
8.157894736842105088e-01,1.000000000000000000e+00
7.973684210526316152e-01,1.000000000000000000e+00
7.789473684210526105e-01,1.000000000000000000e+00
7.605263157894737169e-01,1.000000000000000000e+00
7.421052631578948233e-01,1.000000000000000000e+00
7.236842105263158187e-01,1.000000000000000000e+00
7.052631578947368141e-01,1.000000000000000000e+00
6.868421052631579204e-01,1.000000000000000000e+00
6.684210526315790268e-01,1.000000000000000000e+00
6.500000000000000222e-01,1.000000000000000000e+00
6.500000000000000222e-01,1.000000000000000000e+00
6.479541955104083373e-01,1.024689188542110108e+00
6.418725862550951344e-01,1.048704920380702621e+00
6.319210626809733666e-01,1.071392108955560918e+00
6.183710764094589862e-01,1.092131906903450078e+00
6.015922357438611145e-01,1.110358586600969755e+00
5.820422237183640046e-01,1.125574971739379260e+00
5.602543136979454275e-01,1.137365998998258521e+00
5.368228230711198368e-01,1.145410039890899512e+00
5.123869018208498938e-01,1.149487673951000488e+00
4.876130981791501617e-01,1.149487673951000488e+00
4.631771769288801632e-01,1.145410039890899512e+00
4.397456863020546280e-01,1.137365998998258743e+00
4.179577762816359954e-01,1.125574971739379260e+00
3.984077642561388855e-01,1.110358586600969755e+00
3.816289235905410138e-01,1.092131906903450300e+00
3.680789373190266334e-01,1.071392108955561140e+00
3.581274137449048101e-01,1.048704920380702621e+00
3.520458044895916627e-01,1.024689188542110108e+00
3.499999999999999778e-01,1.000000000000000000e+00
