x,y
2.551269829392395877e+03,1.560194303102862705e+03
2.724488925471413950e+03,1.565143420133691734e+03
2.858115085303799333e+03,1.575041654195349793e+03
2.991741245136184716e+03,1.594838122318666365e+03
3.061028883567792036e+03,1.634431058565299054e+03
3.051130649506133977e+03,1.698769579966077117e+03
3.011537713259501288e+03,1.773006335428513466e+03
3.001639479197842775e+03,1.871988676045095190e+03
3.041232415444475464e+03,1.951174548538360796e+03
3.125367404968570099e+03,1.995716601815822514e+03
3.249095330739297424e+03,2.000665718846651544e+03
3.382721490571682807e+03,1.975920133692506170e+03
3.456958246034119384e+03,1.926428963384215194e+03
3.481703831188264758e+03,1.842293973860120786e+03
3.461907363064948186e+03,1.758158984336026151e+03
3.417365309787486240e+03,1.698769579966077117e+03
3.382721490571682807e+03,1.649278409657786142e+03
3.367874139479195492e+03,1.609685473411153453e+03
3.412416192756657438e+03,1.575041654195349793e+03
3.491602065249922816e+03,1.550296069041204419e+03
3.630177342113137456e+03,1.555245186072033448e+03
3.808345555222984331e+03,1.565143420133691734e+03
3.902378778808737025e+03,1.575041654195349793e+03
3.902378778808737025e+03,1.629481941534469797e+03
3.887531427716250164e+03,1.703718696996906147e+03
3.897429661777908223e+03,1.763108101366855408e+03
3.927124363962882853e+03,1.787853686521000782e+03
4.006310236456148232e+03,1.782904569490171752e+03
4.090445225980242867e+03,1.753209867305197122e+03
4.179529332535165850e+03,1.738362516212709806e+03
4.283460790182577512e+03,1.768057218397684437e+03
4.347799311583355120e+03,1.842293973860120786e+03
4.352748428614184377e+03,1.946225431507531539e+03
4.337901077521697516e+03,2.025411304000797145e+03
4.288409907213405859e+03,2.089749825401575436e+03
4.219122268781798994e+03,2.109546293524891553e+03
4.130038162226875102e+03,2.109546293524891553e+03
4.016208470517806290e+03,2.104597176494062296e+03
3.946920832086198971e+03,2.104597176494062296e+03
3.922175246932053597e+03,2.149139229771524242e+03
3.912277012870395538e+03,2.228325102264789621e+03
3.922175246932053597e+03,2.317409208819713513e+03
3.922175246932053597e+03,2.406493315374636950e+03
3.922175246932053597e+03,2.495577421929560387e+03
3.912277012870395538e+03,2.545068592237851590e+03
3.684617629452257461e+03,2.545068592237851590e+03
3.452009129003290127e+03,2.540119475207022333e+03
3.353026788386708176e+03,2.540119475207022333e+03
3.283739149955100856e+03,2.574763294422826220e+03
3.278790032924272055e+03,2.634152698792775027e+03
3.323332086201733546e+03,2.693542103162724288e+03
3.357975905417537433e+03,2.747982390501844293e+03
3.382721490571682807e+03,2.822219145964280415e+03
3.367874139479195492e+03,2.886557667365058478e+03
3.303535618078417428e+03,2.955845305796665798e+03
3.209502394492664735e+03,2.985540007981640429e+03
3.120418287937740843e+03,2.995438242043298487e+03
3.006588596228672031e+03,2.980590890950811172e+03
2.922453606704577396e+03,2.916252369550033109e+03
2.902657138581261279e+03,2.856862965180084302e+03
2.917504489673748594e+03,2.782626209717647725e+03
2.962046542951210085e+03,2.693542103162724288e+03
2.976893894043697401e+03,2.639101815823604284e+03
2.942250074827893968e+03,2.589610645515313081e+03
2.853165968272970076e+03,2.584661528484484279e+03
2.778929212810533954e+03,2.609407113638629653e+03
2.699743340317268576e+03,2.644050932854433086e+03
2.635404818916490058e+03,2.668796518008578914e+03
2.521575127207421247e+03,2.713338571286040406e+03
2.457236605806643183e+03,2.426289783497953522e+03
2.442389254714155868e+03,2.332256559912200828e+03
2.412694552529181237e+03,2.282765389603909625e+03
2.343406914097573917e+03,2.267918038511422310e+03
2.269170158635137795e+03,2.287714506634738882e+03
2.189984286141872417e+03,2.317409208819713513e+03
2.120696647710265097e+03,2.347103911004687689e+03
2.046459892247828520e+03,2.357002145066346202e+03
1.967274019754563142e+03,2.332256559912200828e+03
1.902935498353785079e+03,2.302561857727226197e+03
1.878189913199639477e+03,2.223375985233960819e+03
1.878189913199639477e+03,2.154088346802353499e+03
1.888088147261297763e+03,2.065004240247429607e+03
1.947477551631246797e+03,2.005614835877480800e+03
2.016765190062854117e+03,1.980869250723335199e+03
2.110798413648606584e+03,1.966021899630847884e+03
2.209780754265188534e+03,1.980869250723335199e+03
2.303813977850941228e+03,2.010563952908309830e+03
2.363203382220890489e+03,1.995716601815822514e+03
2.397847201436693922e+03,1.956123665569189825e+03
2.387948967375035863e+03,1.891785144168411534e+03
2.368152499251719291e+03,1.822497505736804442e+03
2.353305148159231976e+03,1.748260750274368093e+03
2.323610445974257800e+03,1.659176643719444428e+03
2.293915743789283169e+03,1.565143420133691734e+03
2.212255312780603163e+03,3.823044497655391183e+02
2.296390302304697798e+03,3.575588646113936875e+02
2.410219994013766609e+03,3.080676943031027690e+02
2.548795270876981249e+03,2.734238750872991659e+02
2.657675845555221258e+03,2.684747580564700797e+02
2.751709069140973952e+03,2.882712261797864244e+02
2.771505537264290069e+03,3.377623964880773428e+02
2.741810835079315893e+03,4.169482689813427783e+02
2.722014366955999321e+03,4.911850244437791275e+02
2.722014366955999321e+03,5.604726628753863906e+02
2.761607303202632011e+03,6.396585353686517692e+02
2.835844058665068587e+03,6.743023545844554292e+02
2.910080814127504709e+03,6.891497056769427445e+02
3.009063154744086660e+03,6.792514716152844585e+02
3.112994612391497412e+03,6.396585353686517692e+02
3.167434899730617417e+03,5.852182480295317646e+02
3.192180484884762791e+03,5.258288436595827307e+02
3.177333133792275476e+03,4.565412052279754676e+02
3.147638431607300845e+03,3.971518008580263768e+02
3.108045495360668156e+03,3.377623964880773428e+02
3.088249027237352038e+03,2.882712261797864244e+02
3.127841963483984728e+03,2.387800558714955343e+02
3.221875187069737422e+03,2.338309388406664482e+02
3.355501346902122805e+03,2.338309388406664482e+02
3.503974857826995503e+03,2.338309388406664482e+02
3.607906315474406256e+03,2.140344707173500751e+02
3.800921879676740900e+03,1.892888855632046443e+02
3.820718347800057472e+03,2.833221091489573382e+02
3.835565698892544333e+03,4.268465030430009506e+02
3.845463932954202846e+03,6.198620672453354246e+02
3.870209518108348220e+03,8.425723336326444723e+02
3.894955103262493594e+03,1.124672004389902668e+03
3.875158635139177022e+03,1.149417589544048042e+03
3.761328943430108211e+03,1.164264940636535357e+03
3.622753666566893571e+03,1.169214057667364386e+03
3.469331038611192071e+03,1.179112291729022672e+03
3.325806644717148174e+03,1.193959642821509760e+03
3.207027835977250106e+03,1.208806993913997076e+03
3.078350793175693980e+03,1.218705227975655362e+03
2.895233463035017394e+03,1.233552579068142450e+03
2.682421430709366632e+03,1.248399930160629765e+03
2.360728823705475861e+03,1.283043749376433652e+03
2.345881472612988546e+03,1.144468472513219012e+03
2.326085004489671974e+03,1.055384365958295348e+03
2.286492068243039284e+03,1.010842312680833516e+03
2.227102663873090478e+03,9.959949615883462002e+02
2.123171206225679271e+03,1.020740546742491688e+03
1.984595929362465085e+03,1.045486131896637062e+03
1.910359173900028736e+03,1.000944078619175343e+03
1.875715354684225076e+03,9.217582061259099646e+02
1.880664471715054106e+03,8.475214506634736154e+02
1.900460939838370450e+03,7.683355781702081231e+02
1.964799461239148513e+03,7.188444078619172615e+02
2.083578269979046581e+03,7.138952908310881185e+02
2.157815025441483158e+03,7.336917589544044631e+02
2.246899131996406595e+03,7.188444078619172615e+02
2.286492068243039284e+03,6.594550034919681138e+02
2.281542951212210482e+03,5.703708969370445629e+02
2.251848249027235852e+03,4.862359074129500414e+02
2.212255312780603163e+03,3.823044497655391183e+02
1.841071535468421416e+03,3.534891998403669277e+03
1.945002993115832169e+03,3.529942881372840475e+03
2.058832684824901207e+03,3.554688466526985849e+03
2.177611493564799275e+03,3.564586700588643907e+03
2.246899131996406595e+03,3.524993764342011218e+03
2.261746483088893910e+03,3.465604359972061957e+03
2.241950014965577793e+03,3.391367604509625835e+03
2.217204429811432419e+03,3.317130849047189258e+03
