epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,77.5779,1.25766,0.63459,1.1003,0.90155,0.95286,0.95402,0.57908,1.24744,0.55425,1.07987,0.000580174,0.000580174,0.000580174
62,78.9063,1.22313,0.60452,1.07577,0.90439,0.95802,0.93186,0.57595,1.25233,0.56135,1.08902,0.000566027,0.000566027,0.000566027
63,80.1379,1.22634,0.62469,1.07869,0.90259,0.95833,0.92843,0.57887,1.25018,0.56043,1.08572,0.00055188,0.00055188,0.00055188
64,81.3581,1.22287,0.59362,1.06217,0.89005,0.95833,0.92508,0.57342,1.23263,0.55671,1.0646,0.000537733,0.000537733,0.000537733
65,82.5405,1.19989,0.59583,1.05589,0.89628,0.95833,0.9345,0.56999,1.25599,0.54588,1.06421,0.000523586,0.000523586,0.000523586
66,83.6948,1.19568,0.60727,1.06925,0.91113,0.94789,0.93332,0.55096,1.30094,0.55426,1.07425,0.000509438,0.000509438,0.000509438
67,84.8463,1.20202,0.60404,1.05911,0.89947,0.96667,0.94318,0.56957,1.26586,0.5351,1.06439,0.000495291,0.000495291,0.000495291
68,86.0566,1.20827,0.59732,1.05853,0.9252,0.96667,0.95116,0.58614,1.21209,0.51547,1.0527,0.000481144,0.000481144,0.000481144
69,87.3002,1.19113,0.58342,1.05183,0.91476,0.95,0.93396,0.57909,1.22355,0.50725,1.05554,0.000466997,0.000466997,0.000466997
70,88.5404,1.17932,0.58754,1.06122,0.92559,0.95833,0.96126,0.58243,1.22751,0.50489,1.05569,0.00045285,0.00045285,0.00045285
71,89.764,1.18278,0.58309,1.05658,0.93468,0.95,0.96079,0.58468,1.19212,0.5076,1.04912,0.000438703,0.000438703,0.000438703
72,90.9583,1.21292,0.59799,1.07483,0.91812,0.96667,0.95325,0.59679,1.18551,0.51919,1.04323,0.000424556,0.000424556,0.000424556
73,92.1731,1.22617,0.59219,1.06244,0.91703,0.96667,0.95498,0.58325,1.19975,0.51829,1.03987,0.000410409,0.000410409,0.000410409
74,93.3318,1.20113,0.60442,1.0485,0.9128,0.95833,0.93494,0.56639,1.26637,0.53334,1.05763,0.000396262,0.000396262,0.000396262
75,94.5228,1.18979,0.59149,1.06842,0.91866,0.95547,0.93476,0.57677,1.24018,0.51115,1.05939,0.000382115,0.000382115,0.000382115
76,95.6938,1.19585,0.57401,1.06095,0.9186,0.95645,0.93364,0.57942,1.20071,0.49879,1.05328,0.000367967,0.000367967,0.000367967
77,96.8254,1.17708,0.56951,1.05628,0.90906,0.975,0.93845,0.58025,1.19174,0.49104,1.04723,0.00035382,0.00035382,0.00035382
78,98.0137,1.17648,0.57522,1.05891,0.92481,0.98333,0.968,0.58503,1.19921,0.50036,1.0374,0.000339673,0.000339673,0.000339673
79,99.2762,1.19023,0.58087,1.04937,0.91813,0.975,0.9457,0.59471,1.19802,0.49939,1.0378,0.000325526,0.000325526,0.000325526
80,100.517,1.22178,0.57828,1.0898,0.92575,0.96667,0.95429,0.5978,1.19718,0.49253,1.04174,0.000311379,0.000311379,0.000311379
81,101.767,1.16398,0.5565,1.06363,0.92394,0.97049,0.95518,0.58626,1.20806,0.49505,1.04888,0.000297232,0.000297232,0.000297232
82,103.022,1.1488,0.5663,1.05843,0.92358,0.96667,0.95611,0.57643,1.24313,0.50003,1.06246,0.000283085,0.000283085,0.000283085
83,104.228,1.14307,0.55061,1.04736,0.91172,0.975,0.95294,0.58794,1.23037,0.50216,1.06469,0.000268938,0.000268938,0.000268938
84,105.395,1.15791,0.55125,1.04971,0.91817,0.96667,0.94746,0.60216,1.19103,0.49916,1.05449,0.000254791,0.000254791,0.000254791
85,106.542,1.18507,0.55332,1.0767,0.93978,0.975,0.96528,0.60323,1.18746,0.49887,1.05226,0.000240644,0.000240644,0.000240644
86,107.736,1.1201,0.53971,1.0486,0.9358,0.975,0.96393,0.59603,1.1855,0.49681,1.0499,0.000226497,0.000226497,0.000226497
87,108.949,1.15247,0.56171,1.04495,0.93173,0.975,0.96058,0.59713,1.20066,0.50577,1.05435,0.000212349,0.000212349,0.000212349
88,110.206,1.14819,0.56996,1.03732,0.92174,0.975,0.95735,0.58345,1.21694,0.50048,1.05806,0.000198202,0.000198202,0.000198202
89,111.403,1.21428,0.57896,1.07922,0.93135,0.975,0.95876,0.58162,1.2152,0.49414,1.05459,0.000184055,0.000184055,0.000184055
90,112.62,1.16546,0.54968,1.05103,0.92036,0.96667,0.95306,0.57622,1.18976,0.48417,1.04357,0.000169908,0.000169908,0.000169908
91,119.015,1.13184,0.55877,1.04486,0.92227,0.9617,0.94562,0.58027,1.17763,0.48332,1.03597,0.000155761,0.000155761,0.000155761
92,120.311,1.17412,0.57245,1.07798,0.91967,0.96667,0.94811,0.5951,1.17103,0.48627,1.0358,0.000141614,0.000141614,0.000141614
93,121.489,1.10153,0.5594,1.03341,0.92339,0.96667,0.95388,0.59309,1.17533,0.48787,1.03804,0.000127467,0.000127467,0.000127467
94,122.864,1.13539,0.55323,1.05562,0.93332,0.975,0.9572,0.59993,1.18843,0.49019,1.04384,0.00011332,0.00011332,0.00011332
95,124.107,1.1026,0.5408,1.06354,0.9287,0.975,0.94974,0.59702,1.18596,0.49325,1.04572,9.91726e-05,9.91726e-05,9.91726e-05
96,125.326,1.11467,0.53891,1.05242,0.93103,0.9734,0.95471,0.60819,1.17081,0.48583,1.0461,8.50255e-05,8.50255e-05,8.50255e-05
97,126.501,1.1147,0.54439,1.03967,0.93814,0.97276,0.95315,0.60508,1.16326,0.48316,1.04269,7.08784e-05,7.08784e-05,7.08784e-05
98,127.748,1.1287,0.54492,1.03775,0.93067,0.96184,0.95201,0.60591,1.14897,0.48136,1.03781,5.67313e-05,5.67313e-05,5.67313e-05
99,128.942,1.09611,0.539,1.04378,0.93916,0.97401,0.95419,0.60729,1.14246,0.47537,1.03377,4.25842e-05,4.25842e-05,4.25842e-05
100,130.191,1.09808,0.54072,1.03401,0.9298,0.975,0.95098,0.60072,1.14289,0.47505,1.03244,2.84371e-05,2.84371e-05,2.84371e-05
